created_at,text,score,category,market_relevant,term,event_date,SP500_ret_1d,SP500_ret_3d,VIX_ret_1d,VIX_ret_3d,USDCHF_ret_1d,USDCHF_ret_3d,GOLD_ret_1d,GOLD_ret_3d
2017-01-20 06:31:00+00:00," ""It all begins today! I will see you at 11:00 A.M. for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS!""",5,domestic_politics,False,term1,2017-01-20 00:00:00+00:00,-0.2690124758069353,1.1913854954045269,1.9930718948955035,-6.325819277724755,-0.5385876886525587,-0.5226904318415183,0.8884788456404084,-0.5812504954069817
2017-01-20 11:54:00+00:00," ""We will bring back our jobs. We will bring back our borders. We will bring back our wealth - and we will bring back our dreams!""",7,economy,True,term1,2017-01-20 00:00:00+00:00,-0.2690124758069353,1.1913854954045269,1.9930718948955035,-6.325819277724755,-0.5385876886525587,-0.5226904318415183,0.8884788456404084,-0.5812504954069817
2017-01-20 11:55:00+00:00," ""We will follow two simple rules: BUY AMERICAN & HIRE AMERICAN! # InaugurationDay # MAGA""",6,economy,True,term1,2017-01-20 00:00:00+00:00,-0.2690124758069353,1.1913854954045269,1.9930718948955035,-6.325819277724755,-0.5385876886525587,-0.5226904318415183,0.8884788456404084,-0.5812504954069817
2017-01-20 11:58:00+00:00," ""It is time to remember that...https://www.facebook.com/DonaldTrump/posts/10158510858055725 …""",5,domestic_politics,False,term1,2017-01-20 00:00:00+00:00,-0.2690124758069353,1.1913854954045269,1.9930718948955035,-6.325819277724755,-0.5385876886525587,-0.5226904318415183,0.8884788456404084,-0.5812504954069817
2017-01-20 12:13:00+00:00," ""TO ALL AMERICANS https://www.facebook.com/DonaldTrump/posts/10158510987625725 …""",5,domestic_politics,False,term1,2017-01-20 00:00:00+00:00,-0.2690124758069353,1.1913854954045269,1.9930718948955035,-6.325819277724755,-0.5385876886525587,-0.5226904318415183,0.8884788456404084,-0.5812504954069817
2017-01-21 05:53:00+00:00," ""A fantastic day and evening in Washington D.C.Thank you to @ FoxNews and so many other news outlets for the GREAT reviews of the speech!""",6,domestic_politics,False,term1,2017-01-23 00:00:00+00:00,0.6564593637664135,1.3897219295128538,-5.947329955095458,-9.685644001575143,-0.35568293529418027,-0.18683358578756853,-0.3868272569444445,-2.0987654320987654
2017-01-22 06:47:00+00:00," ""Watched protests yesterday but was under the impression that we just had an election! Why didn't these people vote? Celebs hurt cause badly.""",5,domestic_politics,False,term1,2017-01-23 00:00:00+00:00,0.6564593637664135,1.3897219295128538,-5.947329955095458,-9.685644001575143,-0.35568293529418027,-0.18683358578756853,-0.3868272569444445,-2.0987654320987654
2017-01-23 05:38:00+00:00," ""Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.""",8,economy,True,term1,2017-01-23 00:00:00+00:00,0.6564593637664135,1.3897219295128538,-5.947329955095458,-9.685644001575143,-0.35568293529418027,-0.18683358578756853,-0.3868272569444445,-2.0987654320987654
2017-01-24 05:11:00+00:00," ""Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here for cars sold here!""",7,economy,True,term1,2017-01-24 00:00:00+00:00,0.802609054961754,0.6412027967804838,-2.3486836709587626,-4.426375651548243,0.37299294868102945,0.25567814411445433,-1.0741138127348893,-1.8342619471661392
2017-01-24 10:58:00+00:00," ""A photo delivered yesterday that will be displayed in the upper/lower press hall. Thank you Abbas!pic.twitter.com/Uzp0ivvRp0""",5,domestic_politics,False,term1,2017-01-24 00:00:00+00:00,0.802609054961754,0.6412027967804838,-2.3486836709587626,-4.426375651548243,0.37299294868102945,0.25567814411445433,-1.0741138127348893,-1.8342619471661392
